id_resena,autor,estrellas,fecha,texto,respuesta_dueno
ChdDSUhNMG9nS0VJQ0FnSUMwMllyaGh3RRAB,Six Carpintería,4,Hace 6 años,"Un lujo, de los mejores en la Ciudad en atención y calidad de productos.",
ChZDSUhNMG9nS0VJQ0FnSUMwX3ZyVU5nEAE,Henry Valdivia Lozada,4,Hace 6 años,,
ChZDSUhNMG9nS0VJQ0FnSURVdDdxeldnEAE,Eugenia Martin,4,Hace 6 años,,
ChZDSUhNMG9nS0VJQ0FnSURVODhEN0tnEAE,claudio gabriel chiquino,4,Hace 6 años,Bien atendido. Y muy atentos.,
ChdDSUhNMG9nS0VJQ0FnSURreGU2ZXN3RRAB,Pablo Alcantara,4,Hace 7 años,"Muy buena atención,  rapidez y comodidad.. Precios moderados",
ChZDSUhNMG9nS0VJQ0FnSURrLU9LWFRnEAE,claudio revello,4,Hace 7 años,"Muy buen trato, y bien los precios",
ChZDSUhNMG9nS0VJQ0FnSUNFdlBtX1ZREAE,Miguel Angel Montes,4,Hace 7 años,,
ChZDSUhNMG9nS0VJQ0FnSUM0MGZpOE1BEAE,Alcides Palacios,4,Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSURZMy1IYmdRRRAB,Maria del Carmen Maldonado,4,Hace 7 años,Me gustó,
ChZDSUhNMG9nS0VJQ0FnSURvajZuLUF3EAE,Damian Diaz,4,Hace 7 años,Buen precio,
ChdDSUhNMG9nS0VJQ0FnSURvMjRQWjlnRRAB,Federico Hidalgo,4,Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSURvMjQyWDBRRRAB,María Luz Arellano,4,Hace 7 años,,
ChZDSUhNMG9nS0VJQ0FnSUNvN1pDamVBEAE,Martiniano Cipollone,4,Hace 7 años,Excelentes cortes a la perfección.. así quedó el mueble!,
ChdDSUhNMG9nS0VJQ0FnSURJNTRmZHl3RRAB,Gustavo Gaias,4,Hace 7 años,Buena Atención y precios razonables. Lo recomiendo,
ChZDSUhNMG9nS0VJQ0FnSURJcWVMOWNREAE,Joaquin Solari,4,Hace 7 años,,
ChZDSUhNMG9nS0VJQ0FnSURJdU4tOUhnEAE,Matias Maderna,4,Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSUNJM2NfUHhBRRAB,Marcos Gori,4,Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSUNJZ1lfRWp3RRAB,Celeste Puglia,4,Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSUNJekpfWDNRRRAB,Guillermo Rossi,4,Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSUR3Z3BQTTRnRRAB,Julio Cesar Escalante,4,Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSUNBeXU2QmxBRRAB,Marcos Alessi,4,Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSURReDZPNXNnRRAB,Viviana Ibañez,4,Hace 7 años,,
ChZDSUhNMG9nS0VJQ0FnSURRNnFUN0ZBEAE,Naiaraa Morelli,4,Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSUNBek83MHBnRRAB,Fabian Alberto Soriano,4,Hace 7 años,Muy bueno,
ChZDSUhNMG9nS0VJQ0FnSUNRdHBfdEJREAE,Marcelo Rivarola,4,Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSUNnaF9mZ2dBRRAB,Emiliano Ventimiglia,4,Hace 8 años,"Es un lugar con variedad de productos mucha informacion, gente con buena predispocision aa ayudar. Pero la atencion es muy lenta. Ayudaria tener mas personas atendiendo en mostrador .",
ChdDSUhNMG9nS0VJQ0FnSURBM0tTaHh3RRAB,Sebastian Lapachet,4,Hace 8 años,Muy buen lugar,
ChZDSUhNMG9nS0VJQ0FnSUN3NGVyQlNREAE,Gaston San Martin,4,Hace 8 años,,
ChdDSUhNMG9nS0VJQ0FnSURnNlBlVG1RRRAB,Maximiliano Evangelista,4,Hace 8 años,Un poco lentos al momento de atender al público.,
ChZDSUhNMG9nS0VJQ0FnSUNRa2N6Tkl3EAE,david,4,Hace 8 años,,
ChdDSUhNMG9nS0VJQ0FnSURROXJXXzR3RRAB,claudio bastone,4,Hace 8 años,Bueno atención. Buenos precios,
ChZDSUhNMG9nS0VJQ0FnSUNncWNtSmRREAE,Belen Command,4,Hace 8 años,,
ChZDSUhNMG9nS0VJQ0FnSURnNnJ1LUJ3EAE,Luciano Vertiz,4,Hace 8 años,,
ChZDSUhNMG9nS0VJQ0FnSURRdHZHM05nEAE,Javier Armellini,4,Hace 8 años,,
ChdDSUhNMG9nS0VJQ0FnSUNBNm95SXp3RRAB,Nicolás Cueto Rúa,4,Hace 8 años,"Buena atención y precio, quizás podrían ofrecer otro servicio de cortes, como la otra sucursal y tenes más stock.",
ChZDSUhNMG9nS0VJQ0FnSUN3eDhfUFlBEAE,jarssimao,4,Hace 8 años,,
ChdDSUhNMG9nS0VJQ0FnSUN3X1l5LWdRRRAB,Emiliano Garcia,4,Hace 8 años,,
ChZDSUhNMG9nS0VJQ0FnSUNnbmZuN2FBEAE,Arx 3002,4,Hace 8 años,,
ChZDSUhNMG9nS0VJQ0FnSURla1k2aVpBEAE,Fletes AF,5,Fecha de edición: Hace 3 años,,Gracias!
ChZDSUhNMG9nS0VJQ0FnSUR3dHFIMkpnEAE,Julio Guallama,5,Fecha de edición: Hace 4 años,,Gracias por reconocernos!
ChdDSUhNMG9nS0VJQ0FnSURnanRHWml3RRAB,Alexi Arroyo,5,Fecha de edición: Hace 5 años,Buena atención,
ChZDSUhNMG9nS0VJQ0FnSUN3MElyNkJ3EAE,Ale Parma,5,Fecha de edición: Hace 6 años,Local amplio y muy surtido. Todo lo que buscas para tus proyectos y muebles se puede encontrar aquí. Variedad de colores de tableros Egger y accesorios.  Atención personalizada y profesional. Muy amables. Tiene estacionamiento al frente lo que agrega mucha comodidad a la compra.,
ChdDSUhNMG9nS0VJQ0FnSUNVOE1fMDVnRRAB,Hugo Rodrigo Sala,5,Fecha de edición: Hace 6 años,La mejor atención!,
ChZDSUhNMG9nS0VJQ0FnSUNvaWFLR0d3EAE,nicolas patricio Romero,5,Fecha de edición: Hace 6 años,Lejos el mejor de la ciudad,
ChZDSUhNMG9nS0VJQ0FnSUNVNU1IWmZ3EAE,Carpinteria Carpenter Diseño y Construccion,5,Fecha de edición: Hace 6 años,Confiable,
ChZDSUhNMG9nS0VJQ0FnSUNReGZldE1REAE,Claudio Bazán,5,Fecha de edición: Hace 7 años,Todo muy bien!!!,
ChdDSUhNMG9nS0VJQ0FnSUNnNS1YRW13RRAB,Carlos Bisignano,5,Fecha de edición: Hace 7 años,El cambio que están haciendo en el salón está muy bueno. La atención es muy buena. La entrega también,
ChZDSUhNMG9nS0VJQ0FnSUNvejltN1BnEAE,Alfredo Javier Benitez,5,Fecha de edición: Hace 7 años,Buena atención!!!,
ChdDSUhNMG9nS0VJQ0FnSUNJclB1SnZnRRAB,Leandro Daniel Perazzo Vibbot,5,Fecha de edición: Hace 7 años,exelente,
